category,description
Household,"Borosil IH22MB12021 Glass Mixing Bowl Set, 2-Pieces, Transparent Product Description Multipurpose Mixing BowlsBorosil IH22MB12021 mixing bowl set includes two bowls of 500ml and 1.3 litres to mix and serve food. The sturdy Borosil mixing bowls are made of borosilicate glass. You can use them to bake or heat your dish before serving, but it is advisable to not use it directly on top of the flame. Borosil bowls can also be refrigerated or put in the freezer. For long lasting use, do not put the hot dish directly in the fridge or pour in cold content in the hot dish.Elegant Bowls for Serving and GiftingThe glass mixing bowl set not only makes serving elegant and stylish, but also has health benefits to it. Unlike the plastic containers that start to leech chemicals into your food, the glass bowls will never do so even with repeated usage. This easy-to-maintain bowl is made of non porous glass hence it doesn't hold on to food stains or odours. The handy set of 2 Borosil mixing bowl also makes a great gifting option to appreciate your favourite hostess or as a useful housewarming gift for your loved ones.Brand: BorosilMaterial: Borosilicate glassColour: TransparentPackage Contents: Includes two mixing bowlsCapacity: 500ml and 1.3litresFridge, freezer, oven, microwave and dishwasher safe From the Manufacturer Your favourite Mixing Bowls available in different combinations and sizes, so you can find a set that best suits your needs. Use and Care Instruction Use Borosil bake and serve dish in microwave or electric oven. Not for use over direct flame. Pre grease your Borosil bake and serve before pouring in food meant for baking. Preheat oven before use (only for convection oven). Ensure food does not dry completely in the oven. Do not put the hot dish on cold or wet surface. Allow Borosil bake and serve dish to cool before adding any cold liquid to the food. Allow hot dish with food to reach the room temperature before putting it into the fridge/freezer. Do not use abrasive cleaners to ensure scratch free surface."
Household,"Dynore Stainless Steel Bar Set, 5-Pieces, Silver (DS_230) Exquisitely designed products having a very good finish. All products in the bar set are of 100 percent stainless steel which makes it highly durable and resistant. With peg measure, get the right measure each time without breaking into a sweat. All products are resourceful addition to any bar or restobar."
Household,"Mamta Decoration Sheesham Wood Foldable Patio Dining Set for Balcony Garden and Outdoor | 2 Chairs and Table | Brown Size:2 Seater                                                                                 |                            Color:2 Chairs & Round Table   Make your living space come alive with the new home and lifestyle range of furniture from Mamta Decoration.Your home is where you unwind and is your haven, so style it up and fill it with furniture that suits your need, style and very importantly, your budget. We Deal In All Type Of Furniture Like Bed,Chair, Dining,Bedside,Coffee & Center Table,Rocking Chair, Bar Chair, Kitchen Cabinet, Sofa Set, Garden Outdoor,Indoor,Bedroom & Living Room,Wooden Stools,Console Tables,Sideboard & Bar Cabinet,Wooden Tv Units,Home Decor Furniture,Book, Wall Shelves. The set has an extremely modern and contemporary look that helps you set up a stylish dining space in your home.Assembly : We encourage self assembly of products to help customers better & completely understand thed product they buy. We encourage self assembly of products to help customers better & completely understand the product they buy."
Household,"Milestone ESSL Identix K30 PRO+ID Biometric Fingerprint Scanner (Black) Technical Specification Storage Capacity Fingerprint Templates 1000 Card Storage1000 Transaction Storage1,00,000 Card ReaderYes Keypad4 x 4 Keypad LED IndicatorGreen/Red Schedule Bell/SpeakerMini Speaker CommunicationCommunicationTCP/IP, USB-host Push dataYes Standard featuresSchedule Bell,Self Service Query,SSR Recorder,Automatic Status Switch,DST,T9 Inupt Power & EnvironmentPower Supply12V DC, 1.5 Amps Operating Temperature0oC to 45oC Operating Humidity20% -80% Dimension185 x 140 x 30 mm"
Household,"Abro Spray Paint (400 ml, Gold, Pack of 2) This high quality spray paint gives glossy finish and dries very quickly. The product can be used on all kinds of metal surfaces such as vehicles, machines and apparatus."
Household,DearJoy Baby Bedding Set/Baby Bedding Set with Mosquito Net and Baby Play Gym with Mosquito Net (Pink Bunny Print)
Household,"HOKIPO Stainless Steel Magic Sticker Series Self Adhesive Soap Holder The magic sticker is an innovative formula that grasps the surface firmly and greatly improves the loading ability and service life of wall mounted accessories in bathroom, kitchens and elsewhere in the home, with no damage to your walls. Never falls off from the wall once you stick it. Magic sticker strong adhesiveness protects against water and provides extra strength and durability."
Household,"Black + Decker 9 LTR Oven Toaster Grill Black + Decker 9 Litre Oven Toaster Grill makes cooking easy and enjoyable. It can be used for Toasting, Grilling and Baking. This is the ideal choice for any nuclear family and will add convenience to the lives."
Household,"Story@Home 100% Cotton Double Bedsheet With 2 Pillow Covers Combo Set, Mercerized Finish - Metro Series, 186 TC, Floral (White) Size:Double   Story@Home Metro Mix N Match Collection 100% Cotton Double Size Bed Sheets About Story@Home Invite Story@Home products into your home for their form and function, and experience their style, craftsmanship, and value. We travel the world to find the best materials and designs for Story@Home products and use the most sensible manufacturing methods. We thoroughly test each Story@Home item and reply on feedback from our customers to help us deliver the highest quality. Check out all of our Story@Home products, including bedding, towels, and more, and you'll find something for all occasions at the best values. With a selection that continues to grow, the Story@Home brand is set to become a part of your lifestyle."" Features: • Luxury Soft feel bedding for superior comfort. • Fancy Mix N Match Design. • Soft luxury bedding . • This Bed sheet is soft and smooth to the touch. • Providing elegance and sophistication Bed Sheet. • Its Give the graceful and modern look for any bedroom. • These sheets are made of high strength micro fiber yarns that stay comfortable and wrinkle free for year to come. • These sheets retain their vibrant color, providing the needed charm to complete any bedroom. • Care instructions: machine wash in cold water, tumble dry on low heat, and do not bleach, dry clean, or iron. What's Included: One (1) Bed Sheet Two (2) Standard Sized Pillow cases Accessories: Check out our Story@Home store on Amazon for coordinating Products. Bed sheets | Doormat | Pillow Covers | Towels | Pillows | Curtains | Cushions | Cushions Covers | YogaMats | Mosquito Nets"
Household,"Electrade Dual Temperature Hot Air Gun 1800W with Multiple Heat Settings for Shrink Wrapping Packing, Stripping Paint, Thawing Frozen Water Pipes Heat guns or hot air guns are a crucial element for any household/ professional tool box. It has a crucial role in shrink wrap packaging. With this Heat Gun, a whole host of activities like stripping paint, felt roofing repairs, lighting barbecues, thawing frozen water pipes, Loosening rusted nuts and bolts, is quite literally a cool breeze. The pistol grip handle is ergonomically crafted for extended use. This is a classy power tool. This heat gun has two heat settings. This rare gem among Home Improvement products is less dangerous than a naked flame and perfect for in house applications. This notable heat gun is the perfect addition to your household workshop or tool kit. Shop online for this product today. Features Ergonomically engineered pistol grip. Two changeable temperature control settings."
Household,"Wonderchef Regalia 63152199 550-Watt Bread Maker (Black/Silver) Wake up every day to the smell of fresh home-made bread, Fresh breads with multi-grain atta, dry fruits and fibre, Stunning looks, steel matched with classy black, Simply add the ingredients and choose any option using touch-pad controls. It takes care of the rest including kneading of dough, Choose from 19 pre-programmed menu options for making gluten-free multi-grain breads to baking cakes and preparing jams, 15 hours programmable delay timer with 10 minutes electric power cut off memory, Capacity: 1kg, Adjustable crust control: light, medium and dark."
Household,"Kitchenexp :Unbreakable"" Premium Quality Crystal Clear Corner Set Plastic Bathroom Corner Shelves (Pack Of 3, Clear) Kitchenexp Brand Can Only Be Sold By Kitchenexpseller If Other Sellers Trying To Sellkitchenexp Brand,We Will Take Strict Legal Action Aganst Them. Unbreakable Crystal Clear Corner Set Set Of 3 Pcs (11',9"",7"")Inch Crystal Clear Comes With All Fitting Accessories (Nuts N Bolts)"
Household,Clearline Automatic Electric Dough Kneader With Non Stick Bowl
Household,HOKIPO 46 L Cotton Foldable Round Laundry Basket (Blue) #productDescription .aplus-3p {width: 970px} .aplus-3p ul {overflow: hidden;} .aplus-3p ul li {list-style-position: inside;} #productDescription .aplus-3p table {border-collapse: collapse !important; width: 100% !important} #productDescription .aplus-3p .one-col {width: 100%; margin-bottom: 1em} #productDescription .aplus-3p .one-col .image-wrapper {margin-bottom: 1em} #productDescription .aplus-3p .leftImage {margin-bottom: 0} #productDescription .aplus-3p .leftImage.image-wrapper {max-width: 300px;} #productDescription .aplus-3p .image-wrapper img {max-width: none;} .aplus-3p .image-wrapper {display: inline-block; text-align: center} #productDescription .aplus-3p .image-caption {font-size: 0.9em; margin-top: 5px} #productDescription .aplus-3p table tr {vertical-align: top;} .apcs-eventhirdcol {width:300px; display:block;} .apcs-eventhirdcol-table {width: 100%; border-collapse: separate;} .apcs-eventhirdcol-table th {text-align: center; vertical-align: top;} .apcs-eventhirdcol-table tr td {vertical-align: top;} .apcs-eventhirdcol-table tr td:first-child {padding-right: 17px;} .apcs-eventhirdcol-table tr td:first-child + td {padding: 0 17px;} .apcs-eventhirdcol-table tr td:first-child + td + td {padding-left: 17px;}
Household,"Dewberries® Wooden Heat Insulation Trivet Set for Home, Kitchen and Dining - Set of 2 Heat Insulation Pads   Set of 2 Coaster Set for your Dining Table,  Holds Soup Bowls,Dishes,Plates,Pots,Pans,Serveware,  Easy to Clean and Store Package contains  Set of 2 Heat Insulation Pads  Protects dining table from Heat and Scratches"
Household,"Lukzer (1 PC) 96-Grid / 96 Slots Ice-Cube Tray or Ice Mould (Random Color) LUKZER 96-Grid / 96 Slots Ice-cube tray (Random Color) 1. Brand new and high quality 2. Material: high quality food-grade plastic 3. Use, keep and get cleaned easily 4. Great for making ice cubes, chocolate, gelatins in party and bar 5. You can add any liquid you like such as juice of strawberry, cherry, orange, lemon and get colourful cubes in return. 6. After being frozen, the ice ball will be colorful, sparkling and crystal-clear 7. It is great enjoyment to have these ice balls you make in your drink 8. The ice out intact - not chipped or cracked. To get them out, push each cube from the bottom with your finger. 9. For fastest and easiest results, wait for several minutes after taking the tray out of the freezer. 10.Package Includes:1 x 96-Grid Ice cube tray."
Household,"Santosha Decor Pre- Assemble Sheesham Wood Nesting Table (Set of 4) Give your house a new look with this set of nesting stool which comes form the house of SANTOSHA DÉCOR. This brand brings you in the world where you can find a various amazing varieties of furniture. This set of stool comes in a package of 4 stools. Stools having three sizes will give you enough space for decoration and you are not using them, you can store it in area with minimum space. This set of stool carries natural brown finish which makes it more shiny and glossy and gives it a smooth soft touch. Use them for sitting or for keeping your decoration item at your house or office."
Household,"Godrej 1.5 Ton 3 Star Inverter Split AC (Copper, GSC 18 AMINV 3 RWQM, White) An energy efficient machine, this AC from the house of Godrej, has many user friendly features that bring along comfort with the cooling. A Three-star Inverter energy efficiency rating implies that the air conditioner would use less power."
Household,"Andrew James S.S 10Liters Stainless Steel Kettle Stainless Steel commercial Soup Kettle for Hotels, resturants, cafes, fast food shops, etc..."
Household,ILoveCleanAir Carbon Compatible Replacement Filter Complete (White) Set for Sharp FU-A80E-W AIR Purifier COMPATIBLE REPLACEMENT FILTER FOR SHARP FU-A80E-W Main Features: True HEPA Filter - reduces PM2.5 to close to ZERO microgram per meter cube of air Activated carbon filter in honeycomb design frame to remove odor and harmful gases. An extra layer of pre-filter provided by ILoveCleanAir to help extend the life of the expensive HEPA filter.
Household,"SENECIO™ 100Pcs Mix Fruit Fimo Slice 3D Clay Multicolor Nail Art Tips Decoration Clean the surface of your nails, brush the base polish. Then apply nail glue/transparent nail paint for better grip & result. There are many mixed different types of fruit nail art slices, you will receive mixed variant nail art slices of fruits category . It is not only apply to nature or artificial nail but also the decoration for the cell phone ,book, diary , mobile, media player and other DIY Projects."
Household,Meyer Bakemaster Non-Stick Bakeware 16 cm Springform Cake Tin
Household,Capital Kitchenware Stainless Steel Pizza Cutter (Multicolour) Wonderful kitchen stylish pizza cutter- cut pizza stylish pizza cutter- cut pizza with great ease blade made of best performence stainless stee handle made of best performence plastic scientifically designed for effort less cutting stainless steel pizza wheel cutter pizza knife single wheel baking tools can be used to cut the pizza.
Household,"Hosley Decorative Round Iron Wall Mirror (20.32 cm x 30.48 cm, Black, Set of 2) A beautiful reflection is worth millions. Make a sophisticated and eye catching statement in any room of your home with our Hosley collection of decorative wall mirrors."
Household,"Generic Dreamcatcher With Black Agate & Feather Charm Keyring - Black And Silver Description: 100% Brand New And High quality It is a good gift for your lover,family,friend and coworkers Beautiful and attractive,Make you charmer and elegant Material:Alloy,Black Agate Total Length: 18.5CM Ring Size: 2.3cm Package include: 1pc Keyring"
Household,"Flair Bread Knife 14"" Wide Teeth Wooden Handle Product Contain :Bread Knife Dimension : 30X3X0.5, Material :Stainless Steel, Color: Silver Weight :120 Gram"
Household,"Inditradition Paint Zoom - Electronic Spray Paint Machine | Heavy Duty Paint Sprayer, With Multiple Accessories | 650-Watt, Blue/White Highly Effective and Easy to Use. Here is a highly-effective professional paint sprayer that saves you from the trouble of painting using brushes, rollers and paint trays that creates a lot of mess around along with a not-so-perfect coverage as well. With the portable spray painting machine, all your troubles are minimised with fast and easy painting. Besides, you can save a lot of paint and money when you opt for electric spray painting machine. Ultra-Light and Portable Spray Painting Machine for You. With a commercial-grade motor and no compressor, the Electric Portable Spray Painting Machine is super light in weight and portable to let you experience ultimate comfort while painting. The machine comes with a carrying strap that lets you carry the machine anywhere. The no-drip application and 3-way direct-dial spray head makes it easy for you to paint difficult corners and angles."
